,score
12955,8.41
303,10.0
14571,8.8
3748,8.9
6531,9.5
2449,8.0
18482,7.5
8011,8.0
999,10.0
18588,1.0
7744,8.81
6198,8.37
9717,6.83
3848,8.68
16159,0.0
8843,8.1
1920,8.63
9531,7.72
7135,8.2
9635,8.48
12652,8.58
3108,6.25
2747,10.0
10995,0.0
8978,8.59
16106,0.0
7,9.5
17237,0.0
8181,7.6
14277,10.0
17377,0.0
12233,8.82
8393,8.18
17918,10.0
11374,0.0
15735,10.0
148,10.0
9400,0.0
4923,8.14
12857,8.17
6353,6.0
10020,10.0
1141,0.0
2187,7.67
4416,7.85
11057,8.8
4577,8.91
17993,9.0
17144,0.0
4453,8.37
1398,0.0
4836,8.0
4700,9.12
15430,9.14
7539,8.76
156,0.0
16579,5.0
2663,9.15
10727,8.0
2753,10.0
10770,7.0
1778,0.0
5931,8.81
9758,7.98
15469,8.5
15122,0.0
11527,10.0
9422,8.07
2797,7.5
15346,8.92
15265,10.0
3074,9.03
10469,8.23
2110,8.0
6164,9.22
8857,7.33
15210,10.0
6294,0.0
1861,0.0
13339,8.35
7038,8.92
16227,8.91
12843,8.69
2474,9.8
11775,0.0
15053,8.27
2535,8.8
8730,8.48
10603,9.0
13889,10.0
6256,9.08
18769,10.0
5832,10.0
14594,0.0
13677,9.0
9648,6.64
9012,7.0
17617,5.0
13713,9.25
9389,0.0
17543,0.0
17881,8.5
14345,0.0
14068,10.0
6439,9.0
14468,8.92
7811,0.0
8050,8.9
11239,8.0
3426,0.0
8249,10.0
2641,10.0
5855,8.67
17367,0.0
3559,9.0
2033,0.0
5767,7.67
15572,0.0
2032,8.66
4395,10.0
1597,7.85
7455,8.69
6482,9.0
2877,8.0
8776,8.33
17578,0.0
10891,8.92
1501,0.0
18798,9.0
8134,8.89
11519,0.0
2598,9.33
8269,8.17
17650,0.0
12605,0.0
5655,9.33
17820,0.0
11991,8.47
1188,0.0
12459,8.87
14869,6.5
13730,10.0
3402,9.0
3467,8.16
8506,10.0
8161,0.0
254,8.67
5042,8.56
18333,9.5
2073,8.5
2583,8.0
2157,9.0
14738,6.33
15976,8.64
4919,0.0
13527,7.4
7465,8.92
8070,8.85
10802,10.0
16396,9.0
7093,0.0
16281,9.06
8732,8.25
1013,0.0
14390,0.0
1779,0.0
10677,9.5
6735,9.33
12547,8.49
665,9.75
8934,8.29
16402,7.0
16446,0.0
7472,8.66
10866,7.46
7880,0.0
14996,8.63
5853,9.4
6666,0.0
12115,0.0
